Id,Nome,Posi��o,Rating,Apari��es,Gols,Assist�ncias,G+A,Gols_Falta,Frequ�ncia_Marcando,Chutes_Totais,Chutes_no_Gols,Grandes_Chances_Perdidas,Grandes_Chances_Criadas,Passe_Certos,Passes_Chaves,Passes_Longos_Certos,Dribles_Certos,Carrinhos,Intercepta��es,Afastamentos,Posse_Perdida,Cart�es_Amarelos,Cart�es_Vermelhos,Gols_Penalti,Penaltis_Batidos,Penaltis_Sofridos,Porcentagem_Passes_Certos,Porcentagem_Dribles_Certos,Temporada,Liga
997035,Alejandro Balde,D,6.525,5,0,0,0,0,0,1,0,0,0,133,1,0,1,2,1,0,24,0,0,0,0,0,95.68345324,20,21/22,La Liga
1142256,Estanis Pedrola,F,6.5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,21/22,La Liga
856123,Emerson Royal,M,6.5,3,0,0,0,0,0,0,0,0,0,45,0,1,0,3,2,1,12,0,0,0,0,0,86.53846154,0,21/22,La Liga
930266,�lvaro Sanz Catal�n,M,6.4,2,0,0,0,0,0,0,0,0,0,10,1,0,0,0,0,0,3,0,0,0,0,0,83.33333333,0,21/22,La Liga
12994,Lionel Messi,F,8.331428571,35,30,9,39,3,100.7666667,196,91,11,22,1914,81,71,160,18,6,0,694,4,0,3,5,0,85.14234875,64.51612903,20/21,La Liga
962883,Ansu Fati,F,7.342857143,7,4,0,4,0,109,14,7,1,3,165,9,0,11,9,3,0,70,1,0,0,0,2,83.75634518,47.82608696,20/21,La Liga
85859,Antoine Griezmann,F,7.241666667,36,13,7,20,0,201.5384615,71,34,13,9,1148,42,38,26,37,12,11,255,4,0,1,2,2,87.30038023,70.27027027,20/21,La Liga
35199,Jordi Alba,D,7.191428571,35,3,5,8,0,1010,27,10,1,13,2231,53,62,17,45,49,32,518,9,0,0,0,0,86.87694704,53125,20/21,La Liga
795222,Frenkie de Jong,M,7.164864865,37,3,4,7,0,1053,17,6,6,9,2562,49,77,58,44,38,26,319,5,0,0,0,0,91.92680301,86.56716418,20/21,La Liga
39433,Sergio Busquets,M,7.055555556,36,0,5,5,0,0,3,1,1,6,2450,30,107,8,63,53,17,273,9,0,0,0,0,91.31569139,88.88888889,20/21,La Liga
818244,Ousmane Demb�l�,F,7.043333333,30,6,3,9,0,296.5,55,23,6,6,791,40,21,63,14,9,0,315,2,0,0,0,0,85.79175705,63.63636364,20/21,La Liga
770,Gerard Piqu�,D,7.011111111,18,0,0,0,0,0,9,2,0,1,1165,2,68,2,16,26,45,86,4,0,0,0,0,94.10339257,100,20/21,La Liga
123976,Sergi Roberto,D,6.993333333,15,1,2,3,0,944,5,1,0,3,720,13,11,8,9,10,16,103,1,0,0,0,0,90.1126408,88.88888889,20/21,La Liga
925097,Ronald Ara�jo,D,6.991666667,24,2,1,3,0,757,12,4,3,0,979,3,34,8,22,20,44,99,3,0,0,0,1,91.83864916,100,20/21,La Liga
859773,�scar Mingueza,D,6.962962963,27,2,2,4,0,951,12,6,0,2,1481,8,39,8,52,20,44,157,4,0,0,0,0,92.85266458,80,20/21,La Liga
119159,Philippe Coutinho,M,6.95,12,2,2,4,0,327.5,28,10,5,1,432,7,8,11,8,2,1,97,0,0,0,0,0,89.07216495,73.33333333,20/21,La Liga
