,player,x,y,loc,interaction,Jogo,temporada
6,Martín Montoya Torralbo,56.7304347826087,2.28695652173913,[56.73043478  2.28695652],74,Rayo Vallecano x Barcelona,2013/2014
7,Neymar da Silva Santos Junior,76.26363636363637,50.65,[76.26363636 50.65      ],62,Rayo Vallecano x Barcelona,2013/2014
8,Pedro Eliezer Rodríguez Ledesma,71.75714285714285,6.757142857142857,[71.75714286  6.75714286],50,Rayo Vallecano x Barcelona,2013/2014
9,Víctor Valdés Arribas,12.711764705882352,35.84705882352941,[12.71176471 35.84705882],32,Rayo Vallecano x Barcelona,2013/2014
10,Xavier Hernández Creus,71.4063829787234,23.0468085106383,[71.40638298 23.04680851],88,Rayo Vallecano x Barcelona,2013/2014
0,Alexis Alejandro Sánchez Sánchez,95.6375,16.75,[95.6375 16.75  ],72,Barcelona x Málaga,2013/2014
1,Daniel Alves da Silva,76.45652173913044,6.6231884057971016,[76.45652174  6.62318841],130,Barcelona x Málaga,2013/2014
2,Francesc Fàbregas i Soler,72.74235294117648,43.80470588235294,[72.74235294 43.80470588],181,Barcelona x Málaga,2013/2014
3,Gerard Piqué Bernabéu,48.18571428571428,20.72380952380952,[48.18571429 20.72380952],119,Barcelona x Málaga,2013/2014
4,Javier Alejandro Mascherano,47.255714285714284,43.817142857142855,[47.25571429 43.81714286],127,Barcelona x Málaga,2013/2014
5,Jordi Alba Ramos,66.23783783783784,61.891891891891895,[66.23783784 61.89189189],137,Barcelona x Málaga,2013/2014
6,Lionel Andrés Messi Cuccittini,82.3509090909091,25.745454545454546,[82.35090909 25.74545455],129,Barcelona x Málaga,2013/2014
7,Pedro Eliezer Rodríguez Ledesma,82.03846153846153,61.68846153846154,[82.03846154 61.68846154],66,Barcelona x Málaga,2013/2014
8,Sergio Busquets i Burgos,62.11666666666667,33.132222222222225,[62.11666667 33.13222222],170,Barcelona x Málaga,2013/2014
9,Víctor Valdés Arribas,10.71875,36.45625,[10.71875 36.45625],25,Barcelona x Málaga,2013/2014
10,Xavier Hernández Creus,71.28557692307692,29.342307692307692,[71.28557692 29.34230769],196,Barcelona x Málaga,2013/2014
0,Adriano Correia Claro,70.82622950819672,62.59344262295082,[70.82622951 62.59344262],113,Granada x Barcelona,2013/2014
1,Alexandre Dimitri Song-Billong,63.91204819277108,32.28072289156627,[63.91204819 32.28072289],158,Granada x Barcelona,2013/2014
2,Andrés Iniesta Luján,75.90789473684211,38.55263157894737,[75.90789474 38.55263158],175,Granada x Barcelona,2013/2014
3,Francesc Fàbregas i Soler,73.74,39.933749999999996,[73.74    39.93375],162,Granada x Barcelona,2013/2014
4,Javier Alejandro Mascherano,48.98392857142857,45.68035714285714,[48.98392857 45.68035714],94,Granada x Barcelona,2013/2014
5,José Manuel Pinto Colorado,12.021052631578948,40.22105263157895,[12.02105263 40.22105263],28,Granada x Barcelona,2013/2014
6,Lionel Andrés Messi Cuccittini,83.2576923076923,27.234615384615385,[83.25769231 27.23461538],119,Granada x Barcelona,2013/2014
7,Martín Montoya Torralbo,68.65,5.787096774193548,[68.65        5.78709677],109,Granada x Barcelona,2013/2014
8,Neymar da Silva Santos Junior,92.62352941176471,56.98627450980393,[92.62352941 56.98627451],119,Granada x Barcelona,2013/2014
9,Pedro Eliezer Rodríguez Ledesma,85.91794871794872,17.23076923076923,[85.91794872 17.23076923],90,Granada x Barcelona,2013/2014
10,Sergio Busquets i Burgos,49.724999999999994,23.905769230769234,[49.725      23.90576923],95,Granada x Barcelona,2013/2014
0,Adriano Correia Claro,63.6675,62.88625,[63.6675  62.88625],146,Barcelona x Real Sociedad,2013/2014
1,Alexis Alejandro Sánchez Sánchez,80.77894736842104,11.168421052631578,[80.77894737 11.16842105],84,Barcelona x Real Sociedad,2013/2014
2,Andrés Iniesta Luján,71.08958333333334,45.911458333333336,[71.08958333 45.91145833],198,Barcelona x Real Sociedad,2013/2014
3,Daniel Alves da Silva,75.41627906976744,6.009302325581395,[75.41627907  6.00930233],161,Barcelona x Real Sociedad,2013/2014
4,Gerard Piqué Bernabéu,45.056862745098044,34.9078431372549,[45.05686275 34.90784314],90,Barcelona x Real Sociedad,2013/2014
5,Javier Alejandro Mascherano,42.48571428571428,47.91428571428571,[42.48571429 47.91428571],52,Barcelona x Real Sociedad,2013/2014
6,Lionel Andrés Messi Cuccittini,79.6969696969697,27.257575757575758,[79.6969697  27.25757576],161,Barcelona x Real Sociedad,2013/2014
7,Neymar da Silva Santos Junior,85.46249999999999,62.425000000000004,[85.4625 62.425 ],112,Barcelona x Real Sociedad,2013/2014
8,Sergio Busquets i Burgos,57.705,34.4625,[57.705  34.4625],149,Barcelona x Real Sociedad,2013/2014
9,Víctor Valdés Arribas,12.005263157894737,34.82631578947369,[12.00526316 34.82631579],29,Barcelona x Real Sociedad,2013/2014
10,Xavier Hernández Creus,73.22083333333333,27.243333333333332,[73.22083333 27.24333333],242,Barcelona x Real Sociedad,2013/2014
0,Adriano Correia Claro,60.96835443037975,60.93797468354431,[60.96835443 60.93797468],137,Villarreal x Barcelona,2013/2014
1,Alexis Alejandro Sánchez Sánchez,86.24545454545455,7.1,[86.24545455  7.1       ],59,Villarreal x Barcelona,2013/2014
2,Andrés Iniesta Luján,78.22625000000001,48.7625,[78.22625 48.7625 ],171,Villarreal x Barcelona,2013/2014
3,Daniel Alves da Silva,77.81,4.611818181818182,[77.81        4.61181818],217,Villarreal x Barcelona,2013/2014
4,Javier Alejandro Mascherano,45.275000000000006,42.051923076923075,[45.275      42.05192308],93,Villarreal x Barcelona,2013/2014
5,José Manuel Pinto Colorado,10.930769230769231,34.9,[10.93076923 34.9       ],17,Villarreal x Barcelona,2013/2014
6,Lionel Andrés Messi Cuccittini,85.87391304347825,27.258695652173916,[85.87391304 27.25869565],113,Villarreal x Barcelona,2013/2014
7,Marc Bartra Aregall,48.62857142857143,17.314285714285717,[48.62857143 17.31428571],74,Villarreal x Barcelona,2013/2014
8,Pedro Eliezer Rodríguez Ledesma,86.06888888888889,44.217777777777776,[86.06888889 44.21777778],104,Villarreal x Barcelona,2013/2014
9,Sergio Busquets i Burgos,63.575949367088604,35.65949367088607,[63.57594937 35.65949367],148,Villarreal x Barcelona,2013/2014
10,Xavier Hernández Creus,73.93389830508475,24.040677966101697,[73.93389831 24.04067797],121,Villarreal x Barcelona,2013/2014
0,Adriano Correia Claro,62.70172413793103,58.46551724137931,[62.70172414 58.46551724],106,Barcelona x Almería,2013/2014
1,Alexis Alejandro Sánchez Sánchez,84.82682926829268,12.080487804878048,[84.82682927 12.0804878 ],94,Barcelona x Almería,2013/2014
2,Carles Puyol i Saforcada,44.48478260869565,21.4,[44.48478261 21.4       ],77,Barcelona x Almería,2013/2014
3,Daniel Alves da Silva,77.33793103448275,6.929885057471264,[77.33793103  6.92988506],170,Barcelona x Almería,2013/2014
4,Francesc Fàbregas i Soler,73.6054945054945,31.232967032967032,[73.60549451 31.23296703],176,Barcelona x Almería,2013/2014
5,Javier Alejandro Mascherano,48.28431372549019,42.23137254901961,[48.28431373 42.23137255],91,Barcelona x Almería,2013/2014
6,Lionel Andrés Messi Cuccittini,85.45068493150684,20.80821917808219,[85.45068493 20.80821918],177,Barcelona x Almería,2013/2014
7,Neymar da Silva Santos Junior,87.10196078431372,59.41372549019608,[87.10196078 59.41372549],132,Barcelona x Almería,2013/2014
8,Sergio Busquets i Burgos,66.6340206185567,29.376288659793815,[66.63402062 29.37628866],187,Barcelona x Almería,2013/2014
9,Víctor Valdés Arribas,11.93125,36.8125,[11.93125 36.8125 ],20,Barcelona x Almería,2013/2014
10,Xavier Hernández Creus,75.59389312977099,29.509160305343514,[75.59389313 29.50916031],254,Barcelona x Almería,2013/2014
0,Adriano Correia Claro,53.35352112676056,64.20845070422536,[53.35352113 64.2084507 ],134,Sevilla x Barcelona,2013/2014
1,Alexandre Dimitri Song-Billong,50.337037037037035,30.616666666666667,[50.33703704 30.61666667],98,Sevilla x Barcelona,2013/2014
2,Alexis Alejandro Sánchez Sánchez,84.07083333333334,9.779166666666665,[84.07083333  9.77916667],74,Sevilla x Barcelona,2013/2014
3,Andrés Iniesta Luján,63.64556962025316,43.17215189873418,[63.64556962 43.1721519 ],162,Sevilla x Barcelona,2013/2014
4,Gerard Piqué Bernabéu,39.305,47.345,[39.305 47.345],106,Sevilla x Barcelona,2013/2014
5,Lionel Andrés Messi Cuccittini,71.20476190476191,40.173809523809524,[71.2047619  40.17380952],98,Sevilla x Barcelona,2013/2014
6,Marc Bartra Aregall,37.85283018867925,16.147169811320754,[37.85283019 16.14716981],102,Sevilla x Barcelona,2013/2014
7,Martín Montoya Torralbo,66.92428571428572,3.8871428571428575,[66.92428571  3.88714286],130,Sevilla x Barcelona,2013/2014
8,Pedro Eliezer Rodríguez Ledesma,74.56129032258065,56.309677419354834,[74.56129032 56.30967742],71,Sevilla x Barcelona,2013/2014
9,Víctor Valdés Arribas,8.903703703703703,36.13333333333333,[ 8.9037037  36.13333333],47,Sevilla x Barcelona,2013/2014
10,Xavier Hernández Creus,63.394047619047626,31.34642857142857,[63.39404762 31.34642857],168,Sevilla x Barcelona,2013/2014
0,Alexis Alejandro Sánchez Sánchez,88.52857142857142,10.882857142857143,[88.52857143 10.88285714],98,Levante UD x Barcelona,2013/2014
1,Francesc Fàbregas i Soler,69.55079365079365,41.68730158730159,[69.55079365 41.68730159],131,Levante UD x Barcelona,2013/2014
2,Gerard Piqué Bernabéu,49.473913043478255,22.333333333333332,[49.47391304 22.33333333],127,Levante UD x Barcelona,2013/2014
3,Javier Alejandro Mascherano,46.45070422535211,46.985915492957744,[46.45070423 46.98591549],127,Levante UD x Barcelona,2013/2014
4,Jordi Alba Ramos,63.66612903225807,61.66290322580645,[63.66612903 61.66290323],120,Levante UD x Barcelona,2013/2014
5,Lionel Andrés Messi Cuccittini,72.968,30.201999999999998,[72.968 30.202],123,Levante UD x Barcelona,2013/2014
6,Martín Montoya Torralbo,68.46949152542372,4.328813559322034,[68.46949153  4.32881356],110,Levante UD x Barcelona,2013/2014
7,Pedro Eliezer Rodríguez Ledesma,73.70357142857142,60.267857142857146,[73.70357143 60.26785714],67,Levante UD x Barcelona,2013/2014
8,Sergio Busquets i Burgos,61.944186046511625,33.76744186046512,[61.94418605 33.76744186],159,Levante UD x Barcelona,2013/2014
9,Víctor Valdés Arribas,12.058823529411764,34.84705882352941,[12.05882353 34.84705882],23,Levante UD x Barcelona,2013/2014
10,Xavier Hernández Creus,70.5125,30.792307692307695,[70.5125     30.79230769],203,Levante UD x Barcelona,2013/2014
0,Alexis Alejandro Sánchez Sánchez,86.79032258064517,7.841935483870968,[86.79032258  7.84193548],81,Barcelona x Osasuna,2013/2014
1,Andrés Iniesta Luján,75.32289156626506,50.30361445783132,[75.32289157 50.30361446],168,Barcelona x Osasuna,2013/2014
2,Daniel Alves da Silva,70.12346938775511,10.553061224489797,[70.12346939 10.55306122],189,Barcelona x Osasuna,2013/2014
3,Javier Alejandro Mascherano,42.698113207547166,45.696226415094344,[42.69811321 45.69622642],89,Barcelona x Osasuna,2013/2014
4,Jordi Alba Ramos,65.14634146341463,60.89512195121951,[65.14634146 60.89512195],154,Barcelona x Osasuna,2013/2014
5,Lionel Andrés Messi Cuccittini,81.23076923076923,24.823076923076922,[81.23076923 24.82307692],125,Barcelona x Osasuna,2013/2014
6,Marc Bartra Aregall,43.367924528301884,23.666037735849056,[43.36792453 23.66603774],88,Barcelona x Osasuna,2013/2014
7,Pedro Eliezer Rodríguez Ledesma,86.55116279069767,56.086046511627906,[86.55116279 56.08604651],100,Barcelona x Osasuna,2013/2014
8,Sergio Busquets i Burgos,63.774698795180726,37.244578313253015,[63.7746988  37.24457831],170,Barcelona x Osasuna,2013/2014
9,Víctor Valdés Arribas,10.083333333333334,34.204166666666666,[10.08333333 34.20416667],34,Barcelona x Osasuna,2013/2014
10,Xavier Hernández Creus,64.78461538461538,21.203076923076924,[64.78461538 21.20307692],136,Barcelona x Osasuna,2013/2014
0,Adriano Correia Claro,66.6703125,63.7546875,[66.6703125 63.7546875],113,Barcelona x Athletic Club,2013/2014
1,Alexandre Dimitri Song-Billong,55.948076923076925,32.38461538461539,[55.94807692 32.38461538],95,Barcelona x Athletic Club,2013/2014
2,Alexis Alejandro Sánchez Sánchez,77.31481481481481,19.866666666666667,[77.31481481 19.86666667],72,Barcelona x Athletic Club,2013/2014
3,Andrés Iniesta Luján,67.53571428571429,48.739285714285714,[67.53571429 48.73928571],112,Barcelona x Athletic Club,2013/2014
4,Daniel Alves da Silva,59.0811320754717,5.666037735849057,[59.08113208  5.66603774],104,Barcelona x Athletic Club,2013/2014
5,Javier Alejandro Mascherano,41.95641025641026,50.05128205128205,[41.95641026 50.05128205],67,Barcelona x Athletic Club,2013/2014
6,José Manuel Pinto Colorado,8.236,36.488,[ 8.236 36.488],39,Barcelona x Athletic Club,2013/2014
7,Lionel Andrés Messi Cuccittini,74.38666666666667,30.18,[74.38666667 30.18      ],78,Barcelona x Athletic Club,2013/2014
8,Marc Bartra Aregall,40.667567567567566,19.762162162162163,[40.66756757 19.76216216],69,Barcelona x Athletic Club,2013/2014
9,Pedro Eliezer Rodríguez Ledesma,73.324,55.152,[73.324 55.152],71,Barcelona x Athletic Club,2013/2014
10,Xavier Hernández Creus,63.5640625,23.775,[63.5640625 23.775    ],124,Barcelona x Athletic Club,2013/2014
0,Adriano Correia Claro,69.31395348837209,57.769767441860466,[69.31395349 57.76976744],82,Elche x Barcelona,2013/2014
1,Alexis Alejandro Sánchez Sánchez,86.45,11.863157894736842,[86.45       11.86315789],92,Elche x Barcelona,2013/2014
2,Andrés Iniesta Luján,74.6375,42.45357142857143,[74.6375     42.45357143],118,Elche x Barcelona,2013/2014
3,Daniel Alves da Silva,67.8027027027027,5.656756756756757,[67.8027027   5.65675676],135,Elche x Barcelona,2013/2014
4,Francesc Fàbregas i Soler,74.81785714285714,27.532142857142855,[74.81785714 27.53214286],168,Elche x Barcelona,2013/2014
5,Javier Alejandro Mascherano,47.3,39.453125,[47.3      39.453125],56,Elche x Barcelona,2013/2014
6,José Manuel Pinto Colorado,11.955,35.905,[11.955 35.905],25,Elche x Barcelona,2013/2014
7,Lionel Andrés Messi Cuccittini,82.17179487179487,25.956410256410255,[82.17179487 25.95641026],101,Elche x Barcelona,2013/2014
8,Marc Bartra Aregall,45.66060606060606,24.954545454545453,[45.66060606 24.95454545],57,Elche x Barcelona,2013/2014
9,Pedro Eliezer Rodríguez Ledesma,85.50416666666666,61.387499999999996,[85.50416667 61.3875    ],62,Elche x Barcelona,2013/2014
10,Sergio Busquets i Burgos,55.81686746987952,26.428915662650603,[55.81686747 26.42891566],156,Elche x Barcelona,2013/2014
0,Adriano Correia Claro,67.41486486486487,7.698648648648648,[67.41486486  7.69864865],137,Barcelona x Celta Vigo,2013/2014
1,Alexandre Dimitri Song-Billong,57.733870967741936,32.28064516129032,[57.73387097 32.28064516],120,Barcelona x Celta Vigo,2013/2014
2,Alexis Alejandro Sánchez Sánchez,76.96176470588235,13.35,[76.96176471 13.35      ],72,Barcelona x Celta Vigo,2013/2014
3,Andrés Iniesta Luján,72.38813559322033,42.398305084745765,[72.38813559 42.39830508],117,Barcelona x Celta Vigo,2013/2014
4,Francesc Fàbregas i Soler,64.57349397590362,37.01325301204819,[64.57349398 37.01325301],172,Barcelona x Celta Vigo,2013/2014
5,Javier Alejandro Mascherano,43.0188679245283,45.2188679245283,[43.01886792 45.21886792],102,Barcelona x Celta Vigo,2013/2014
6,Jordi Alba Ramos,64.99655172413793,60.671264367816086,[64.99655172 60.67126437],155,Barcelona x Celta Vigo,2013/2014
7,Lionel Andrés Messi Cuccittini,84.61463414634146,28.553658536585367,[84.61463415 28.55365854],101,Barcelona x Celta Vigo,2013/2014
8,Marc Bartra Aregall,44.63725490196079,16.680392156862744,[44.6372549  16.68039216],89,Barcelona x Celta Vigo,2013/2014
9,Neymar da Silva Santos Junior,79.54473684210525,61.5578947368421,[79.54473684 61.55789474],100,Barcelona x Celta Vigo,2013/2014
10,Víctor Valdés Arribas,15.24,33.239999999999995,[15.24 33.24],9,Barcelona x Celta Vigo,2013/2014
0,Adriano Correia Claro,63.032558139534885,61.56744186046512,[63.03255814 61.56744186],75,Barcelona x Real Madrid,2013/2014
1,Andrés Iniesta Luján,68.27391304347826,42.910869565217396,[68.27391304 42.91086957],97,Barcelona x Real Madrid,2013/2014
2,Daniel Alves da Silva,65.252,4.172000000000001,[65.252  4.172],93,Barcelona x Real Madrid,2013/2014
3,Francesc Fàbregas i Soler,76.18571428571428,36.31428571428572,[76.18571429 36.31428571],75,Barcelona x Real Madrid,2013/2014
4,Gerard Piqué Bernabéu,40.08947368421053,51.223684210526315,[40.08947368 51.22368421],68,Barcelona x Real Madrid,2013/2014
5,Javier Alejandro Mascherano,39.77777777777778,19.14814814814815,[39.77777778 19.14814815],53,Barcelona x Real Madrid,2013/2014
6,Lionel Andrés Messi Cuccittini,73.99811320754718,22.19622641509434,[73.99811321 22.19622642],122,Barcelona x Real Madrid,2013/2014
7,Neymar da Silva Santos Junior,82.89615384615385,59.87307692307692,[82.89615385 59.87307692],85,Barcelona x Real Madrid,2013/2014
8,Sergio Busquets i Burgos,51.38399999999999,37.744,[51.384 37.744],87,Barcelona x Real Madrid,2013/2014
9,Víctor Valdés Arribas,10.259090909090908,37.695454545454545,[10.25909091 37.69545455],35,Barcelona x Real Madrid,2013/2014
10,Xavier Hernández Creus,68.70379746835444,35.57341772151899,[68.70379747 35.57341772],148,Barcelona x Real Madrid,2013/2014
0,Adriano Correia Claro,63.71153846153846,58.01923076923077,[63.71153846 58.01923077],94,Barcelona x Rayo Vallecano,2013/2014
1,Alexis Alejandro Sánchez Sánchez,88.37857142857142,9.378571428571428,[88.37857143  9.37857143],84,Barcelona x Rayo Vallecano,2013/2014
2,Andrés Iniesta Luján,73.77721518987342,37.80759493670886,[73.77721519 37.80759494],165,Barcelona x Rayo Vallecano,2013/2014
3,Carles Puyol i Saforcada,44.67916666666667,44.48333333333333,[44.67916667 44.48333333],44,Barcelona x Rayo Vallecano,2013/2014
4,Daniel Alves da Silva,71.60289855072465,6.371014492753623,[71.60289855  6.37101449],126,Barcelona x Rayo Vallecano,2013/2014
5,Francesc Fàbregas i Soler,69.48301886792453,31.345283018867924,[69.48301887 31.34528302],197,Barcelona x Rayo Vallecano,2013/2014
6,Gerard Piqué Bernabéu,38.56808510638298,20.906382978723403,[38.56808511 20.90638298],79,Barcelona x Rayo Vallecano,2013/2014
7,Lionel Andrés Messi Cuccittini,83.04042553191489,20.0531914893617,[83.04042553 20.05319149],118,Barcelona x Rayo Vallecano,2013/2014
8,Pedro Eliezer Rodríguez Ledesma,90.16296296296296,60.06666666666666,[90.16296296 60.06666667],73,Barcelona x Rayo Vallecano,2013/2014
9,Sergio Busquets i Burgos,62.75901639344263,28.504918032786886,[62.75901639 28.50491803],110,Barcelona x Rayo Vallecano,2013/2014
10,Víctor Valdés Arribas,11.403030303030304,33.74848484848485,[11.4030303  33.74848485],56,Barcelona x Rayo Vallecano,2013/2014
0,Adriano Correia Claro,64.34444444444445,64.32407407407408,[64.34444444 64.32407407],103,Barcelona x Levante UD,2013/2014
1,Alexis Alejandro Sánchez Sánchez,78.4,11.982608695652175,[78.4       11.9826087],61,Barcelona x Levante UD,2013/2014
2,Daniel Alves da Silva,66.43571428571428,6.619047619047619,[66.43571429  6.61904762],157,Barcelona x Levante UD,2013/2014
3,Francesc Fàbregas i Soler,78.3,39.23037974683544,[78.3        39.23037975],164,Barcelona x Levante UD,2013/2014
4,Gerard Piqué Bernabéu,48.24324324324324,22.743243243243242,[48.24324324 22.74324324],138,Barcelona x Levante UD,2013/2014
5,Javier Alejandro Mascherano,46.11168831168831,48.94935064935065,[46.11168831 48.94935065],136,Barcelona x Levante UD,2013/2014
6,Lionel Andrés Messi Cuccittini,90.12181818181818,25.167272727272728,[90.12181818 25.16727273],121,Barcelona x Levante UD,2013/2014
7,Pedro Eliezer Rodríguez Ledesma,86.68157894736842,53.73157894736842,[86.68157895 53.73157895],93,Barcelona x Levante UD,2013/2014
8,Sergio Busquets i Burgos,61.577108433734935,38.78313253012048,[61.57710843 38.78313253],167,Barcelona x Levante UD,2013/2014
9,Víctor Valdés Arribas,9.65,36.26428571428571,[ 9.65       36.26428571],20,Barcelona x Levante UD,2013/2014
10,Xavier Hernández Creus,74.35684210526315,31.841052631578947,[74.35684211 31.84105263],192,Barcelona x Levante UD,2013/2014
0,Alexis Alejandro Sánchez Sánchez,80.99333333333334,10.183333333333334,[80.99333333 10.18333333],78,Barcelona x Espanyol,2013/2014
1,Andrés Iniesta Luján,73.42407407407407,44.28703703703704,[73.42407407 44.28703704],115,Barcelona x Espanyol,2013/2014
2,Daniel Alves da Silva,76.8108695652174,4.663043478260868,[76.81086957  4.66304348],183,Barcelona x Espanyol,2013/2014
3,Gerard Piqué Bernabéu,45.2758064516129,21.39032258064516,[45.27580645 21.39032258],107,Barcelona x Espanyol,2013/2014
4,Javier Alejandro Mascherano,43.744827586206895,45.077586206896555,[43.74482759 45.07758621],100,Barcelona x Espanyol,2013/2014
5,Lionel Andrés Messi Cuccittini,77.64897959183673,19.591836734693878,[77.64897959 19.59183673],120,Barcelona x Espanyol,2013/2014
6,Martín Montoya Torralbo,63.68846153846154,63.69871794871795,[63.68846154 63.69871795],138,Barcelona x Espanyol,2013/2014
7,Neymar da Silva Santos Junior,83.28235294117647,54.721568627450985,[83.28235294 54.72156863],130,Barcelona x Espanyol,2013/2014
8,Sergio Busquets i Burgos,61.324731182795695,36.14193548387097,[61.32473118 36.14193548],183,Barcelona x Espanyol,2013/2014
9,Víctor Valdés Arribas,9.577777777777778,33.72777777777778,[ 9.57777778 33.72777778],25,Barcelona x Espanyol,2013/2014
10,Xavier Hernández Creus,66.6982905982906,26.876068376068375,[66.6982906  26.87606838],225,Barcelona x Espanyol,2013/2014
0,Daniel Alves da Silva,68.5481012658228,8.131645569620252,[68.54810127  8.13164557],145,Espanyol x Barcelona,2013/2014
1,Francesc Fàbregas i Soler,63.13164556962025,42.92025316455696,[63.13164557 42.92025316],157,Espanyol x Barcelona,2013/2014
2,Gerard Piqué Bernabéu,36.856818181818184,19.41590909090909,[36.85681818 19.41590909],80,Espanyol x Barcelona,2013/2014
3,Javier Alejandro Mascherano,31.818181818181817,46.63181818181818,[31.81818182 46.63181818],77,Espanyol x Barcelona,2013/2014
4,Jordi Alba Ramos,53.66184210526316,62.251315789473686,[53.66184211 62.25131579],132,Espanyol x Barcelona,2013/2014
5,José Manuel Pinto Colorado,7.781818181818181,33.75454545454546,[ 7.78181818 33.75454545],34,Espanyol x Barcelona,2013/2014
6,Lionel Andrés Messi Cuccittini,78.61636363636363,29.252727272727274,[78.61636364 29.25272727],140,Espanyol x Barcelona,2013/2014
7,Neymar da Silva Santos Junior,73.52413793103447,59.13793103448276,[73.52413793 59.13793103],98,Espanyol x Barcelona,2013/2014
8,Pedro Eliezer Rodríguez Ledesma,74.94615384615385,16.91025641025641,[74.94615385 16.91025641],95,Espanyol x Barcelona,2013/2014
9,Sergio Busquets i Burgos,53.11724137931034,38.719540229885055,[53.11724138 38.71954023],159,Espanyol x Barcelona,2013/2014
10,Xavier Hernández Creus,65.84495412844036,28.40183486238532,[65.84495413 28.40183486],209,Espanyol x Barcelona,2013/2014
0,Adriano Correia Claro,63.592727272727274,62.31454545454546,[63.59272727 62.31454545],95,Barcelona x Atlético Madrid,2013/2014
1,Alexis Alejandro Sánchez Sánchez,74.86666666666666,10.922222222222224,[74.86666667 10.92222222],59,Barcelona x Atlético Madrid,2013/2014
2,Andrés Iniesta Luján,76.18478260869566,47.99347826086956,[76.18478261 47.99347826],96,Barcelona x Atlético Madrid,2013/2014
3,Daniel Alves da Silva,77.21645569620253,3.6734177215189865,[77.2164557   3.67341772],155,Barcelona x Atlético Madrid,2013/2014
4,Francesc Fàbregas i Soler,72.77,24.651999999999997,[72.77  24.652],104,Barcelona x Atlético Madrid,2013/2014
5,Gerard Piqué Bernabéu,40.88055555555556,25.330555555555556,[40.88055556 25.33055556],62,Barcelona x Atlético Madrid,2013/2014
6,Javier Alejandro Mascherano,46.37647058823529,48.99607843137255,[46.37647059 48.99607843],90,Barcelona x Atlético Madrid,2013/2014
7,José Manuel Pinto Colorado,12.17,32.095,[12.17  32.095],28,Barcelona x Atlético Madrid,2013/2014
8,Lionel Andrés Messi Cuccittini,82.60731707317073,29.570731707317076,[82.60731707 29.57073171],100,Barcelona x Atlético Madrid,2013/2014
9,Pedro Eliezer Rodríguez Ledesma,75.48823529411764,53.42352941176471,[75.48823529 53.42352941],42,Barcelona x Atlético Madrid,2013/2014
10,Sergio Busquets i Burgos,56.58888888888889,35.43333333333333,[56.58888889 35.43333333],67,Barcelona x Atlético Madrid,2013/2014
0,Alexis Alejandro Sánchez Sánchez,84.125,9.068181818181818,[84.125       9.06818182],100,Barcelona x Valencia,2013/2014
1,Daniel Alves da Silva,71.59529411764706,5.885882352941176,[71.59529412  5.88588235],165,Barcelona x Valencia,2013/2014
2,Francesc Fàbregas i Soler,72.53378378378379,40.883783783783784,[72.53378378 40.88378378],151,Barcelona x Valencia,2013/2014
3,Gerard Piqué Bernabéu,48.38181818181818,25.747727272727275,[48.38181818 25.74772727],76,Barcelona x Valencia,2013/2014
4,Javier Alejandro Mascherano,48.939130434782605,43.37173913043478,[48.93913043 43.37173913],80,Barcelona x Valencia,2013/2014
5,Jordi Alba Ramos,67.98139534883721,62.6953488372093,[67.98139535 62.69534884],79,Barcelona x Valencia,2013/2014
6,Lionel Andrés Messi Cuccittini,83.73606557377049,30.108196721311472,[83.73606557 30.10819672],146,Barcelona x Valencia,2013/2014
7,Pedro Eliezer Rodríguez Ledesma,85.26046511627906,51.460465116279074,[85.26046512 51.46046512],91,Barcelona x Valencia,2013/2014
8,Sergio Busquets i Burgos,68.33428571428571,29.629523809523807,[68.33428571 29.62952381],208,Barcelona x Valencia,2013/2014
9,Víctor Valdés Arribas,10.358823529411765,34.88235294117647,[10.35882353 34.88235294],26,Barcelona x Valencia,2013/2014
10,Xavier Hernández Creus,74.88791208791208,30.846153846153847,[74.88791209 30.84615385],184,Barcelona x Valencia,2013/2014
0,Adriano Correia Claro,71.18333333333334,61.371212121212125,[71.18333333 61.37121212],119,Barcelona x Getafe,2013/2014
1,Alexis Alejandro Sánchez Sánchez,90.97560975609755,12.858536585365854,[90.97560976 12.85853659],103,Barcelona x Getafe,2013/2014
2,Andrés Iniesta Luján,75.95686274509804,45.14705882352941,[75.95686275 45.14705882],107,Barcelona x Getafe,2013/2014
3,Daniel Alves da Silva,77.52830188679245,5.64622641509434,[77.52830189  5.64622642],211,Barcelona x Getafe,2013/2014
4,Javier Alejandro Mascherano,48.858730158730154,45.74285714285715,[48.85873016 45.74285714],117,Barcelona x Getafe,2013/2014
5,José Manuel Pinto Colorado,11.11111111111111,36.044444444444444,[11.11111111 36.04444444],24,Barcelona x Getafe,2013/2014
6,Lionel Andrés Messi Cuccittini,82.4,28.77027027027027,[82.4        28.77027027],99,Barcelona x Getafe,2013/2014
7,Marc Bartra Aregall,50.82608695652174,20.3231884057971,[50.82608696 20.32318841],126,Barcelona x Getafe,2013/2014
8,Pedro Eliezer Rodríguez Ledesma,87.9945945945946,46.608108108108105,[87.99459459 46.60810811],90,Barcelona x Getafe,2013/2014
9,Sergio Busquets i Burgos,56.83020833333333,33.561458333333334,[56.83020833 33.56145833],180,Barcelona x Getafe,2013/2014
10,Xavier Hernández Creus,69.390099009901,28.32376237623762,[69.39009901 28.32376238],194,Barcelona x Getafe,2013/2014
0,Alexis Alejandro Sánchez Sánchez,78.01111111111112,11.366666666666667,[78.01111111 11.36666667],49,Atlético Madrid x Barcelona,2013/2014
